student_id,first_name,last_name,father_f_name,father_s_name,s_gender,s_mobile_1,s_mobile_2,s_age,student_dob,admission_date,class,s_house_no,s_street,s_area,s_pincode
v230825,Ananya,Malhotra,Deepak,Malhotra,f,9873043184,9848042934,7,25-09-2015,15-08-2021,2,1-3-379/133/364,Masab Tank Road,Masab Tank,500028
230802,Arnav,Kapoor,Venkat,Kapoor,m,9871543169,9846542919,8,10-09-2014,05-09-2020,2,1-3-443/101/268,Dilsukhnagar Main Road,Dilsukhnagar,500060
230803,Aryan,Patel,Suresh,Patel,m,9870843162,9845842912,7,15-04-2015,12-10-2019,2,1-3-315/165/460,Abids Road,Abids,500001
230804,Avani,Choudhury,Srinivas,Choudhury,f,9870143155,9845142905,8,20-11-2014,14-02-2021,2,1-3-549/48/109,Uppal Main Road,Uppal,500039
230805,Devansh,Bhatia,Sandeep,Bhatia,m,9869043144,9844042894,7,03-06-2015,25-10-2018,2,1-3-577/34/67,Nizampet Main Road,Nizampet,500090
230806,Esha,Joshi,Sandeep,Joshi,f,9868143135,9843142885,8,12-02-2014,01-01-2021,2,1-3-459/93/244,Malakpet Main Road,Malakpet,500036
230807,Ethan,Thomas,Christopher,Thomas,m,9867743131,9842742881,7,17-09-2015,17-10-2021,2,1-3-151/247/706,Somajiguda Main Road,Somajiguda,500082
230808,Ishita,Deshmukh,Raju,Deshmukh,f,9867143125,9842142875,8,23-04-2014,16-09-2018,2,1-3-509/68/169,Hitech City Road,Hitech City,500081
230809,Kabir,Verma,Raju,Verma,m,9866343117,9841342867,7,06-12-2015,05-09-2020,2,1-3-139/253/724,Yousufguda Main Road,Yousufguda,500045
230810,Kavya,Rana,Rajesh,Rana,f,9865543109,9840542859,8,20-03-2014,25-12-2019,2,1-3-281/182/511,Gachibowli Road,Gachibowli,500032
230811,Navya,Mehta,Sameer,Mehta,f,9863043084,9838042834,7,25-08-2015,19-11-2020,2,1-3-345/150/415,Tarnaka Main Road,Tarnaka,500017
230812,Nikhil,Sharma,Ravi,Sharma,m,9862343077,9837342827,8,02-02-2014,10-04-2022,2,1-3-223/211/598,Gachibowli Road,Gachibowli,500032
230813,Nisha,Sharma,Ramesh,Sharma,f,9861443068,9836442818,7,07-09-2015,24-12-2019,2,1-3-221/212/601,Yousufguda Main Road,Yousufguda,500045
230814,Noah,Anderson,Daniel,Anderson,m,9860743061,9835742811,8,15-04-2014,21-11-2018,2,1-3-591/27/46,Himayat Nagar Road,Himayat Nagar,500029
230815,Olivia,Johnson,Smith,Johnson,f,9860143055,9835142805,7,21-11-2015,18-05-2020,2,1-3-467/89/232,Tolichowki Main Road,Tolichowki,500008
230816,Priya,Reddy,Vivek,Reddy,f,9859343047,9834342797,8,28-06-2014,08-12-2021,2,1-3-265/190/535,Tolichowki Main Road,Tolichowki,500008
230817,Rishi,Saxena,Raghav,Saxena,m,9858543039,9833542789,7,04-01-2015,15-05-2019,2,1-3-249/198/559,Kondapur Main Road,Kondapur,500084
230818,Riyaan,Agrawal,Prasad,Agrawal,m,9856843022,9831842772,8,12-08-2014,01-04-2018,2,1-3-623/11/3,Banjara Hills Road,Banjara Hills,500034
230819,Rohan,Desai,Mohan,Desai,m,9856043014,9831042764,7,18-03-2015,03-06-2020,2,1-3-527/59/142,Vanasthalipuram Main Road,Vanasthalipuram,500070
230820,Sophia,Martin,David,Martin,f,9854142995,9829142745,8,24-10-2014,08-12-2021,2,1-3-361/142/391,Kondapur Main Road,Kondapur,500084
230821,Vihaan,Sharma,Rohan,Sharma,m,9853442988,9828442738,7,29-05-2015,25-10-2018,2,1-3-219/213/604,Hafeezpet Main Road,Hafeezpet,500049
230822,Vikram,Khanna,Hassan,Khanna,m,9852642980,9827642730,8,06-12-2014,19-11-2020,2,1-3-397/124/337,Ameerpet Main Road,Ameerpet,500016
230923,Aanya,Kapoor,Vivek,Kapoor,f,9876343217,9851342967,8,13-07-2014,21-11-2018,3,1-3-441/102/271,L.B. Nagar Main Road,L.B. Nagar,500074
230922,Aarav,Kapoor,Rohan,Kapoor,m,9875443208,9850442958,9,06-12-2013,31-12-2020,3,1-3-439/103/274,Shamshabad Main Road,Shamshabad,501218
230921,Ahmed,Khan,Ibrahim,Khan,m,9874443198,9849442948,8,29-05-2014,11-03-2018,3,1-3-405/120/325,Abids Road,Abids,500001
230920,Aishwarya,Reddy,Sameer,Reddy,f,9873743191,9848742941,9,24-10-2013,14-03-2020,3,1-3-263/191/538,Somajiguda Main Road,Somajiguda,500082
230919,Arjun,Mehta,Sameer,Mehta,m,9872343177,9847342927,8,18-03-2014,16-09-2018,3,1-3-343/151/418,Uppal Main Road,Uppal,500039
230918,Arnav,Sharma,Sandeep,Sharma,m,9871443168,9846442918,9,12-08-2013,26-11-2020,3,1-3-217/214/607,Raj Bhavan Road,Raj Bhavan Road,500082
230917,Aryan,Joshi,Ravi,Joshi,m,9870743161,9845742911,8,04-01-2014,25-12-2019,3,1-3-457/94/247,Dilsukhnagar Main Road,Dilsukhnagar,500036
230916,Avani,Mehta,Krishna,Mehta,f,9870043154,9845042904,9,28-06-2013,02-05-2021,3,1-3-341/152/421,Yousufguda Main Road,Yousufguda,500045
230915,Devansh,Sharma,Mohan,Sharma,m,9868943143,9843942893,8,21-11-2014,15-05-2019,3,1-3-215/215/610,Shamshabad Main Road,Shamshabad,501218
230914,Esha,Sharma,Raju,Sharma,f,9868043134,9843042884,9,15-04-2013,23-02-2021,3,1-3-213/216/613,Toli Chowki Main Road,Toli Chowki,500008
230913,Kabir,Verma,Prasad,Verma,m,9866243116,9841242866,8,07-09-2014,26-11-2020,3,1-3-137/254/727,Kondapur Main Road,Kondapur,500084
230912,Kavya,Rana,Raghav,Rana,f,9865443108,9840442858,9,02-02-2013,07-03-2020,3,1-3-279/183/514,Mehdipatnam Road,Mehdipatnam,500028
230911,Meera,Gupta,Raghav,Gupta,f,9864243096,9839242846,8,25-08-2014,15-06-2022,3,1-3-493/76/193,Mehdipatnam Road,Mehdipatnam,500028
230910,Naima,Ali,Sufiyan,Ali,f,9863543089,9838542839,9,20-03-2013,07-11-2019,3,1-3-599/23/34,Madhapur Road,Madhapur,500081
230909,Nikhil,Agrawal,Ram,Agrawal,m,9862243076,9837242826,8,06-12-2014,19-06-2022,3,1-3-621/12/1,Necklace Road,Necklace Road,500063
230908,Nisha,Desai,Ramesh,Desai,f,9861343067,9836342817,9,23-04-2013,25-03-2020,3,1-3-525/60/145,Banjara Hills Road,Banjara Hills,500034
230907,Noah,Anderson,Derik,Anderson,m,9860643060,9835642810,8,17-09-2014,09-04-2019,3,1-3-589/28/49,Srinagar Colony Road,Srinagar Colony,500073
230906,Priya,Khanna,Vishnu,Khanna,f,9859243046,9834242796,9,12-02-2013,25-01-2022,3,1-3-395/125/340,Madhapur Road,Madhapur,500081
230905,Rishi,Chawla,Sandeep,Chawla,m,9858443038,9833442788,8,03-06-2014,26-07-2019,3,1-3-561/42/91,Santosh Nagar Road,Santosh Nagar,500059
230904,Riya,Patel,Venkat,Patel,f,9857743031,9832742781,9,20-11-2013,01-01-2021,3,1-3-313/166/463,Hitech City Road,Hitech City,500081
230925,Riyaan,Patel,Deepak,Patel,m,9856743021,9831742771,8,25-09-2014,16-09-2018,3,1-3-311/167/466,L.B. Nagar Main Road,L.B. Nagar,500074
230901,Siddharth,Singhania,Gopal,Singhania,m,9854843002,9829842752,8,01-07-2014,26-08-2020,3,1-3-167/239/682,Nampally Main Road,Nampally,500001
230903,Sophia,Martin,Christopher,Martin,f,9854042994,9829042744,8,15-04-2014,25-01-2022,3,1-3-359/143/394,Tolichowki Main Road,Tolichowki,500008
230924,Vikram,Bhatia,Venkatesh,Bhatia,m,9852542979,9827542729,9,20-02-2013,01-01-2021,3,1-3-575/35/70,Bowenpally Main Road,Bowenpally,500011
230902,Yusuf,Hussain,Mustafa,Hussain,m,9851942973,9826942723,9,10-09-2013,10-04-2022,3,1-3-473/86/223,Khairatabad Road,Khairatabad,500004
231024,Aanya,Agrawal,Raghav,Agrawal,f,9876243216,9851242966,10,20-02-2012,09-04-2019,4,1-3-619/13/4 ,Begumpet Road,Begumpet,500016
231023,Aarav,Malhotra,Krishna,Malhotra,m,9875343207,9850342957,9,13-07-2013,14-02-2021,4,1-3-377/134/367,Panjagutta Main Road,Panjagutta,500082
231001,Ahmed,Khan,Mustafa,Khan,m,9874343197,9849342947,9,01-07-2013,04-09-2018,4,1-3-403/121/328,Jubilee Hills Road,Jubilee Hills,500033
231025,Aishwarya,Patel,Deepak,Patel,f,9873643190,9848642940,9,25-09-2013,28-05-2020,4,1-3-309/168/469,Shamshabad Main Road,Shamshabad,501218
231002,Ananya,Choudhury,Srinivas,Choudhury,f,9872943183,9847942933,10,10-09-2012,17-10-2021,4,1-3-547/49/112,Chanda Nagar Road,Chanda Nagar,500050
231003,Arjun,Singhania,Sandeep,Singhania,m,9872243176,9847242926,9,15-04-2013,31-10-2018,4,1-3-165/240/685,Panjagutta Main Road,Panjagutta,500082
231004,Avani,Mehta,Sandeep,Mehta,f,9869943153,9844942903,10,20-11-2012,19-07-2021,4,1-3-339/153/424,Dilsukhnagar Main Road,Dilsukhnagar,500060
231005,Devansh,Sharma,Sanjay,Sharma,m,9868843142,9843842892,9,03-06-2013,26-07-2019,4,1-3-211/217/616,Banjara Hills Road,Banjara Hills,500034
231006,Ishita,Deshmukh,Ramesh,Deshmukh,f,9867043124,9842042874,10,12-02-2012,31-10-2018,4,1-3-507/69/172,Jubilee Hills Road,Jubilee Hills,500033
231007,Kabir,Verma,Ram,Verma,m,9866143115,9841142865,9,17-09-2013,15-02-2018,4,1-3-135/255/730,Saidabad Main Road,Saidabad,500059
231008,Layla,Hassan,Aryan,Hassan,f,9864943103,9839942853,10,23-04-2012,14-02-2021,4,1-3-481/82/211,Himayat Nagar Road,Himayat Nagar,500029
231009,Meera,Gupta,Rajesh,Gupta,f,9864143095,9839142845,9,06-12-2013,22-08-2022,4,1-3-491/77/196,Kukatpally Main Road,Kukatpally,500072
231010,Navya,Patel,Suresh,Patel,f,9862943083,9837942833,10,20-03-2012,01-01-2021,4,1-3-307/169/472,Banjara Hills Road,Banjara Hills,500034
231011,Nikhil,Kapoor,Vivek,Kapoor,m,9862143075,9837142825,9,25-08-2013,27-08-2022,4,1-3-437/104/277,Toli Chowki Main Road,Toli Chowki,500008
231012,Nisha,Kapoor,Vishnu,Kapoor,f,9861243066,9836242816,10,02-02-2012,03-06-2020,4,1-3-435/105/280,Nizampet Road,Nizampet,500090
231013,Noah,Anderson,Christopher,Anderson,m,9860543059,9835542809,9,07-09-2013,30-06-2019,4,1-3-587/29/52,Panjagutta Main Road,Panjagutta,500082
231014,Omar,Ahmad,Kareem,Ahmad,m,9859943053,9834942803,10,15-04-2012,03-11-2020,4,1-3-609/18/19,Ameerpet Main Road,Ameerpet,500016
231015,Rishi,Mehta,Venkatesh,Mehta,m,9858343037,9833342787,9,21-11-2013,07-11-2019,4,1-3-337/154/427,Attapur Main Road,Attapur,500048
231016,Riya,Sharma,Raju,Sharma,f,9857643030,9832642780,10,28-06-2012,23-02-2021,4,1-3-209/218/619,Vanasthalipuram Main Road,Vanasthalipuram,500070
231017,Rohan,Saxena,Raghav,Saxena,m,9855943013,9830942763,9,04-01-2013,05-09-2020,4,1-3-247/199/562,Malakpet Main Road,Malakpet,500036
231018,Safiya,Rahman,Ismail,Rahman,m,9855343007,9830342757,10,12-08-2012,30-06-2019,4,1-3-287/179/502,Ameerpet Main Road,Ameerpet,500016
231019,Siddharth,Desai,Prasad,Desai,m,9854743001,9829742751,9,18-03-2013,03-11-2020,4,1-3-523/61/148,Yousufguda Main Road,Yousufguda,500045
231020,Sophia,Martin,Daniel,Martin,f,9853942993,9828942743,10,24-10-2012,06-04-2022,4,1-3-357/144/397,Bowenpally Main Road,Bowenpally,500011
231021,Vihaan,Sharma,Gopal,Sharma,m,9853342987,9828342737,9,29-05-2013,15-05-2019,4,1-3-207/219/622,Nizampet Road,Nizampet,500090
231022,Vikram,Khanna,Deepak,Khanna,m,9852442978,9827442728,10,06-12-2012,23-02-2021,4,1-3-393/126/343,Necklace Road,Necklace Road,500063
231103,Aanya,Kapoor,Krishna,Kapoor,f,9876143215,9851142965,10,15-04-2012,30-06-2019,5,1-3-433/106/283,Tarnaka Main Road,Tarnaka,500017
231102,Aarav,Patel,Deepak,Patel,m,9875243206,9850242956,11,10-09-2011,02-05-2021,5,1-3-305/170/475,Toli Chowki Main Road,Toli Chowki,500008
231104,Aisha,Khan,Hassan,Khan,f,9874143195,9849142945,11,20-11-2011,15-05-2019,5,1-3-401/122/331,Jagathgiri Gutta Road,Jagathgiri Gutta,500055
231105,Aishwarya,Sharma,Venkatesh,Sharma,f,9873543189,9848542939,10,03-06-2012,01-09-2020,5,1-3-205/220/625,Gachibowli Road,Gachibowli,500032
231106,Arjun,Singhania,Deepak,Singhania,m,9872143175,9847142925,11,12-02-2011,22-05-2019,5,1-3-163/241/688,Masab Tank Road,Masab Tank,500028
231107,Avani,Mehta,Vivek,Mehta,f,9869843152,9844842902,10,17-09-2012,29-09-2021,5,1-3-335/155/430,Kompally Main Road,Kompally,500014
231108,Caleb,Smith,Daniel,Smith,m,9869343147,9844342897,11,23-04-2011,22-08-2022,5,1-3-155/245/700,Nizampet Main Road,Nizampet,500090
231109,Devansh,Reddy,Ravi,Reddy,m,9868743141,9843742891,10,06-12-2012,07-11-2019,5,1-3-261/192/541,Khairatabad Road,Khairatabad,500004
231110,Ishita,Deshmukh,Prasad,Deshmukh,f,9866943123,9841942873,11,20-03-2011,22-05-2019,5,1-3-505/70/175,Begumpet Road,Begumpet,500016
231111,Kabir,Verma,Raghav,Verma,m,9866043114,9841042864,10,25-08-2012,03-08-2018,5,1-3-133/256/733,Malakpet Main Road,Malakpet,500036
231112,Kavya,Rana,Raghu,Rana,f,9865343107,9840342857,11,02-02-2011,18-05-2020,5,1-3-277/184/517,Kukatpally Main Road,Kukatpally,500072
231113,Meera,Gupta,Raj,Gupta,f,9864043094,9839042844,10,07-09-2012,11-03-2018,5,1-3-489/78/199,Gachibowli Road,Gachibowli,500032
231114,Navya,Saxena,Raju,Saxena,f,9862843082,9837842832,11,15-04-2011,23-02-2021,5,1-3-245/200/565,Marredpally Main Road,Marredpally,500026
231115,Nikhil,Agrawal,Raju,Agrawal,m,9862043074,9837042824,10,21-11-2012,01-04-2018,5,1-3-617/14/7,Hitech City Road,Hitech City,500081
231116,Nisha,Desai,Ram,Desai,f,9861143065,9836142815,11,28-06-2011,05-09-2020,5,1-3-521/62/151,Abids Road,Abids,500001
231117,Noah,Anderson,Chris,Anderson,m,9860443058,9835442808,10,04-01-2012,12-10-2019,5,1-3-585/30/55,Basheer Bagh Road,Basheer Bagh,500029
231118,Priya,Sharma,Vishnu,Sharma,f,9859143045,9834142795,11,12-08-2011,06-04-2022,5,1-3-203/221/628,Madhapur Road,Madhapur,500081
231119,Rishi,Mehta,Sameer,Mehta,m,9858243036,9833242786,10,18-03-2012,22-12-2019,5,1-3-333/156/433,Chanda Nagar Road,Chanda Nagar,500050
231120,Riya,Sharma,Sameer,Sharma,f,9857543029,9832542779,11,24-10-2011,06-05-2021,5,1-3-201/222/631,Begumpet Road,Begumpet,500016
231121,Riyaan,Chawla,Sandeep,Chawla,m,9856643020,9831642770,10,29-05-2012,31-10-2018,5,1-3-559/43/94,Tarnaka Main Road,Tarnaka,500017
231122,Rohan,Malhotra,Sandeep,Malhotra,m,9855843012,9830842762,11,06-12-2011,26-11-2020,5,1-3-375/135/370,Barkatpura Main Road,Barkatpura,500027
231123,Siddharth,Patel,Suresh,Patel,m,9854643000,9829642750,10,13-07-2012,31-12-2020,5,1-3-303/171/478,Begumpet Road,Begumpet,500016
231124,Sophia,Martin,Matthew,Martin,f,9853842992,9828842742,11,20-02-2011,15-06-2022,5,1-3-355/145/400,Malakpet Main Road,Malakpet,500036
231101,Vihaan,Kapoor,Ramesh,Kapoor,m,9853242986,9828242736,10,01-07-2012,26-07-2019,5,1-3-431/107/286,Uppal Main Road,Uppal,500039
231125,Zaid,Malik,Abdul,Malik,m,9851742971,9826742721,10,25-09-2012,27-08-2022,5,1-3-365/140/385,Khairatabad Road,Khairatabad,500004
231224,Aanya,Choudhury,Vishnu,Choudhury,f,9876043214,9851042964,12,20-02-2010,12-10-2019,6,1-3-545/50/115,Attapur Main Road,Attapur,500048
231223,Aarav,Singhania,Venkatesh,Singhania,m,9875143205,9850142955,11,13-07-2011,19-07-2021,6,1-3-161/242/691,Barkatpura Main Road,Barkatpura,500027
231222,Ananya,Joshi,Venkat,Joshi,f,9872843182,9847842932,12,06-12-2010,05-01-2022,6,1-3-455/95/250,Saidabad Main Road,Saidabad,500059
231221,Arjun,Mehta,Suresh,Mehta,m,9872043174,9847042924,11,29-05-2011,02-08-2019,6,1-3-331/157/436,Hayathnagar Main Road,Hayathnagar,501505
231220,Aryan,Sharma,Sandeep,Sharma,m,9870643160,9845642910,12,24-10-2010,07-03-2020,6,1-3-199/223/634,SR Nagar Road,SR Nagar,500038
231219,Avani,Deshmukh,Sameer,Deshmukh,f,9869743151,9844742901,11,18-03-2011,08-12-2021,6,1-3-503/71/178,SR Nagar Road,SR Nagar,500038
231218,Benjamin,Clark,John,Clark,m,9869543149,9844542899,12,12-08-2010,06-04-2022,6,1-3-539/53/124,ECIL Main Road,ECIL,500062
231217,Devansh,Saxena,Raju,Saxena,m,9868643140,9843642890,11,04-01-2011,22-12-2019,6,1-3-243/201/568,Saidabad Main Road,Saidabad,500059
231216,Ishita,Agrawal,Raju,Agrawal,f,9866843122,9841842872,12,28-06-2010,02-08-2019,6,1-3-615/15/10,Jubilee Hills Road,Jubilee Hills,500033
231215,Kavya,Rana,Sameer,Rana,f,9865243106,9840242856,11,21-11-2011,26-08-2020,6,1-3-275/185/520,Basheer Bagh Road,Basheer Bagh,500029
231214,Meera,Gupta,Ravi,Gupta,f,9863943093,9838942843,12,15-04-2010,04-09-2018,6,1-3-487/79/202,Basheer Bagh Road,Basheer Bagh,500029
231213,Naima,Ali,Suleman,Ali,f,9863443088,9838442838,11,07-09-2011,22-12-2019,6,1-3-597/24/37,Masab Tank Road,Masab Tank,500028
231212,Navya,Reddy,Raghav,Reddy,f,9862743081,9837742831,12,02-02-2010,06-05-2021,6,1-3-259/193/544,Nizampet Main Road,Nizampet,500090
231211,Nikhil,Mehta,Prasad,Mehta,m,9861943073,9836942823,11,25-08-2011,16-09-2018,6,1-3-329/158/439,Saidabad Main Road,Saidabad,500059
231210,Nisha,Desai,Rajesh,Desai,f,9861043064,9836042814,12,20-03-2010,26-11-2020,6,1-3-519/63/154,Gachibowli Road,Gachibowli,500032
231209,Omar,Ahmad,Ismail,Ahmad,m,9859843052,9834842802,11,06-12-2011,31-12-2020,6,1-3-607/19/22,SR Nagar Road,SR Nagar,500038
231208,Priya,Sharma,Deepak,Sharma,f,9859043044,9834042794,12,23-04-2010,15-06-2022,6,1-3-197/224/637,Uppal Main Road,Uppal,500039
231207,Rishi,Khanna,Deepak,Khanna,m,9858143035,9833142785,11,17-09-2011,14-03-2020,6,1-3-391/127/346,Raj Bhavan Road,Raj Bhavan Road,500082
231206,Riya,Sharma,Krishna,Sharma,f,9857443028,9832442778,12,12-02-2010,15-08-2021,6,1-3-195/225/640,ECIL Main Road,ECIL,500062
231205,Riyaan,Chawla,Raghav,Chawla,m,9856543019,9831542769,11,03-06-2011,22-05-2019,6,1-3-557/44/97,Marredpally Main Road,Marredpally,500026
231204,Rohan,Malhotra,Ram,Malhotra,m,9855743011,9830742761,12,20-11-2010,15-02-2018,6,1-3-373/136/373,Srinagar Colony Road,Srinagar Colony,500073
231203,Siddharth,Patel,Srinivas,Patel,m,9854542999,9829542749,11,15-04-2011,14-02-2021,6,1-3-301/172/481,Jagathgiri Gutta Road,Jagathgiri Gutta,500055
231202,Sophia,Martin,Dan,Martin,f,9853742991,9828742741,12,10-09-2010,22-08-2022,6,1-3-353/146/403,Dilsukhnagar Main Road,Dilsukhnagar,500036
231225,Vihaan,Kapoor,Vivek,Kapoor,m,9853142985,9828142735,11,25-09-2011,07-11-2019,6,1-3-429/108/289,Vanasthalipuram Main Road,Vanasthalipuram,500070
231201,Vikram,Kapoor,Gopal,Kapoor,m,9852342977,9827342727,11,01-07-2011,06-05-2021,6,1-3-427/109/292,Santosh Nagar Road,Santosh Nagar,500059
231324,Aanya,Sharma,Deepak,Sharma,f,9875943213,9850942963,13,20-02-2009,25-12-2019,7,1-3-193/226/643,Chanda Nagar Road,Chanda Nagar,500050
231323,Aarav,Patel,Gopal,Patel,m,9875043204,9850042954,12,13-07-2010,29-09-2021,7,1-3-299/173/484,Yousufguda Main Road,Yousufguda,500045
231325,Aishwarya,Khanna,Raju,Khanna,f,9873443188,9848442938,12,25-09-2010,19-11-2020,7,1-3-389/128/349,Kukatpally Main Road,Kukatpally,500072
231301,Ananya,Choudhury,Venkatesh,Choudhury,f,9872743181,9847742931,12,01-07-2010,10-04-2022,7,1-3-543/51/118,Hayathnagar Main Road,Hayathnagar,501505
231302,Arjun,Kapoor,Sandeep,Kapoor,m,9871943173,9846942923,13,10-09-2009,12-11-2019,7,1-3-425/110/295,Chanda Nagar Road,Chanda Nagar,500050
231303,Arnav,Kapoor,Vivek,Kapoor,m,9871343167,9846342917,12,15-04-2010,15-02-2018,7,1-3-423/111/298,Yousufguda Main Road,Yousufguda,500045
231304,Aryan,Patel,Vivek,Patel,m,9870543159,9845542909,13,20-11-2009,18-05-2020,7,1-3-297/174/487,SR Nagar Road,SR Nagar,500038
231305,Ava,Thompson,William,Thompson,f,9870243156,9845242906,12,03-06-2010,31-12-2020,7,1-3-145/250/715,Dilsukhnagar Main Road,Dilsukhnagar,500036
231306,Caleb,Smith,Clark,Smith,m,9869243146,9844242896,13,12-02-2009,11-03-2018,7,1-3-153/246/703,Khairatabad Road,Khairatabad,500004
231307,Devansh,Sharma,Saurav,Sharma,m,9868543139,9843542889,12,17-09-2010,14-03-2020,7,1-3-191/227/646,Charminar Road,Charminar,500002
231308,Esha,Sharma,Ramesh,Sharma,f,9867943133,9842942883,13,23-04-2009,06-05-2021,7,1-3-189/228/649,Alwal Main Road,Alwal,500010
231309,Ethan,Thomas,David,Thomas,m,9867643130,9842642880,12,06-12-2010,05-01-2022,7,1-3-149/248/709,Tolichowki Main Road,Tolichowki,500008
231310,Ishita,Deshmukh,Rajesh,Deshmukh,f,9866743121,9841742871,13,20-03-2009,12-11-2019,7,1-3-501/72/181,Charminar Road,Charminar,500002
231311,Kabir,Verma,Raghava,Verma,m,9865943113,9840942863,12,25-08-2010,21-11-2018,7,1-3-131/257/736,Nallakunta Main Road,Nallakunta,500044
231312,Layla,Hassan,Nithik,Hassan,f,9864843102,9839842852,13,02-02-2009,02-05-2021,7,1-3-479/83/214,Lakdi ka Pul Road,Lakdi ka Pul,500004
